ID,Battery Capacity (in mAH),Bluetooth,Clock Speed (in GHz),Dual Sim Support,Front Camera (in MP),4G Support,Internal Memory (in GB),Mobile Depth (in cm),Mobile Weight (in g),Number of cores,Primary Camera (in MP),RAM (in MB),Talk Time (in hrs),3G Support,Touch Screen,Wifi Support,Pixel Dots,Screen Area (in sq.cm),Price Range
1,842,No,2.2,No,1,No,7,0.6,188,2,2,2549,19,No,No,Yes,15120,63,Low
2,1021,Yes,0.5,Yes,0,Yes,53,0.7,136,3,6,2631,7,Yes,Yes,No,1799140,51,Average
3,563,Yes,0.5,Yes,2,Yes,41,0.9,145,5,6,2603,9,Yes,Yes,No,2167308,22,Average
4,615,Yes,2.5,No,0,No,10,0.8,131,6,9,2769,11,Yes,No,No,2171776,128,Average
5,1821,Yes,1.2,No,13,Yes,44,0.6,141,2,14,1411,15,Yes,Yes,No,1464096,16,Low
6,1859,No,0.5,Yes,3,No,22,0.7,164,1,7,1067,10,Yes,No,No,1660616,17,Low
7,1821,No,1.7,No,4,Yes,10,0.8,139,8,10,3220,18,Yes,No,Yes,387858,104,High
8,1954,No,0.5,Yes,0,No,24,0.8,187,4,0,700,5,Yes,Yes,Yes,588288,48,Very Low
9,1445,Yes,0.5,No,0,No,53,0.7,174,7,14,1099,20,Yes,No,No,322696,17,Very Low
10,509,Yes,0.6,Yes,2,Yes,9,0.1,93,5,15,513,12,Yes,No,No,1391688,190,Very Low
11,769,Yes,2.9,Yes,0,No,9,0.1,182,5,1,3946,7,No,No,No,216752,10,High
12,1520,Yes,2.2,No,5,Yes,33,0.5,177,8,18,3826,13,Yes,Yes,Yes,151755,126,High
13,1815,No,2.8,No,2,No,33,0.6,159,4,17,1482,2,Yes,No,No,454036,0,Low
14,803,Yes,2.1,No,7,No,17,1,198,4,11,2680,4,Yes,No,Yes,495360,7,Average
15,1866,No,0.5,No,13,Yes,52,0.7,185,1,17,373,3,Yes,No,Yes,200428,126,Very Low
16,775,No,1,No,3,No,46,0.7,159,2,16,568,11,Yes,Yes,Yes,1606768,255,Very Low
17,838,No,0.5,No,1,Yes,13,0.1,196,8,4,3554,19,Yes,No,Yes,1820400,90,High
18,595,No,0.9,Yes,7,Yes,23,0.1,121,3,17,3752,18,Yes,Yes,No,357210,20,High
19,1131,Yes,0.5,Yes,11,No,49,0.6,101,5,18,1835,16,Yes,Yes,No,577724,247,Low
20,682,Yes,0.5,No,4,No,19,1,121,4,11,2337,18,No,Yes,Yes,959728,11,Low
21,772,No,1.1,Yes,12,No,39,0.8,81,7,14,2819,3,Yes,Yes,No,2436156,255,High
22,1709,Yes,2.1,No,1,No,13,1,156,2,2,3283,15,Yes,No,No,1348990,17,High
23,1949,No,2.6,Yes,4,No,47,0.3,199,4,7,1433,20,No,No,Yes,334554,55,Low
24,1602,Yes,2.8,Yes,4,Yes,38,0.7,114,3,20,1037,20,Yes,No,No,367208,56,Very Low
25,503,No,1.2,Yes,5,Yes,8,0.4,111,3,13,2583,12,Yes,No,No,250245,0,Low
26,961,Yes,1.4,Yes,0,Yes,57,0.6,114,8,3,2782,7,Yes,Yes,Yes,417294,162,Average
27,519,Yes,1.6,Yes,7,Yes,51,0.3,132,4,19,3763,4,Yes,No,Yes,354750,16,High
28,956,No,0.5,No,1,Yes,41,1,143,7,6,3286,12,Yes,Yes,No,549325,136,High
29,1453,No,1.6,Yes,12,Yes,52,0.3,96,2,18,2373,10,Yes,Yes,Yes,245157,10,Average
30,851,No,0.5,No,3,No,21,0.4,200,5,7,478,10,Yes,No,Yes,1478973,84,Very Low
31,1579,Yes,0.5,Yes,0,No,5,0.2,88,7,9,3532,12,No,No,Yes,2361562,187,High
32,1568,Yes,0.5,No,16,No,33,1,150,8,20,508,6,Yes,Yes,Yes,270102,5,Very Low
33,1319,Yes,0.9,No,3,Yes,41,0.9,107,1,18,2227,3,Yes,Yes,Yes,97920,90,Low
34,1310,Yes,2.2,Yes,0,Yes,51,0.6,100,4,0,3845,12,Yes,Yes,No,341582,0,High
35,644,Yes,2.7,No,0,No,22,0.7,157,8,3,1262,15,Yes,No,No,273991,12,Very Low
36,725,No,1.3,Yes,16,No,60,0.4,160,8,17,1326,15,Yes,No,No,1416366,40,Low
37,589,Yes,2.3,Yes,1,No,61,0.6,160,4,10,2113,2,Yes,No,Yes,349635,91,Low
38,1725,Yes,1.6,Yes,6,Yes,6,0.5,119,2,18,3429,4,Yes,Yes,No,795963,30,High
39,790,No,2,Yes,16,Yes,11,0.3,87,6,17,3169,2,Yes,No,Yes,253310,6,Average
40,560,No,0.5,Yes,15,No,50,0.3,159,2,20,2150,11,Yes,Yes,No,2335624,216,Average
41,1347,No,2.9,No,5,No,44,0.6,132,1,14,2484,11,Yes,No,Yes,419678,36,Average
42,1646,Yes,2.3,No,8,Yes,41,0.2,185,2,10,3339,19,Yes,Yes,No,3332700,180,High
43,1253,Yes,0.5,Yes,5,Yes,5,0.2,152,2,19,1878,4,Yes,Yes,No,489090,0,Low
44,1656,No,1,No,5,Yes,34,0.1,166,3,7,1629,14,Yes,Yes,No,1281280,180,Low
45,1195,Yes,2.8,No,1,Yes,20,0.8,110,2,14,504,12,Yes,Yes,No,2610160,27,Very Low
46,1514,No,2.9,No,0,No,27,0.2,118,3,1,1152,20,No,Yes,Yes,336660,24,Low
47,1723,Yes,1.1,Yes,1,No,42,1,164,8,14,3587,3,Yes,No,No,361782,50,High
48,1054,Yes,1.8,Yes,3,Yes,40,0.8,196,7,10,2296,12,Yes,No,Yes,20898,192,Low
49,578,Yes,2.6,Yes,2,Yes,57,0.2,162,8,8,1270,5,Yes,No,Yes,1468825,45,Very Low
50,596,No,2.1,Yes,9,No,64,0.8,111,8,15,3238,10,No,No,No,1640790,208,High
