id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,px_area,sc_area,price_range
1,842,0,2.2,0,1,0,7,0.6,188,2,2,2549,19,0,0,1,15120,63,2
2,1021,1,0.5,1,0,1,53,0.7,136,3,6,2631,7,1,1,0,1799140,51,3
3,563,1,0.5,1,2,1,41,0.9,145,5,6,2603,9,1,1,0,2167308,22,3
4,615,1,2.5,0,0,0,10,0.8,131,6,9,2769,11,1,0,0,2171776,128,3
5,1821,1,1.2,0,13,1,44,0.6,141,2,14,1411,15,1,1,0,1464096,16,2
6,1859,0,0.5,1,3,0,22,0.7,164,1,7,1067,10,1,0,0,1660616,17,2
7,1821,0,1.7,0,4,1,10,0.8,139,8,10,3220,18,1,0,1,387858,104,4
8,1954,0,0.5,1,0,0,24,0.8,187,4,0,700,5,1,1,1,588288,48,1
9,1445,1,0.5,0,0,0,53,0.7,174,7,14,1099,20,1,0,0,322696,17,1
10,509,1,0.6,1,2,1,9,0.1,93,5,15,513,12,1,0,0,1391688,190,1
11,769,1,2.9,1,0,0,9,0.1,182,5,1,3946,7,0,0,0,216752,10,4
12,1520,1,2.2,0,5,1,33,0.5,177,8,18,3826,13,1,1,1,151755,126,4
13,1815,0,2.8,0,2,0,33,0.6,159,4,17,1482,2,1,0,0,454036,0,2
14,803,1,2.1,0,7,0,17,1,198,4,11,2680,4,1,0,1,495360,7,3
15,1866,0,0.5,0,13,1,52,0.7,185,1,17,373,3,1,0,1,200428,126,1
16,775,0,1,0,3,0,46,0.7,159,2,16,568,11,1,1,1,1606768,255,1
17,838,0,0.5,0,1,1,13,0.1,196,8,4,3554,19,1,0,1,1820400,90,4
18,595,0,0.9,1,7,1,23,0.1,121,3,17,3752,18,1,1,0,357210,20,4
19,1131,1,0.5,1,11,0,49,0.6,101,5,18,1835,16,1,1,0,577724,247,2
20,682,1,0.5,0,4,0,19,1,121,4,11,2337,18,0,1,1,959728,11,2
21,772,0,1.1,1,12,0,39,0.8,81,7,14,2819,3,1,1,0,2436156,255,4
22,1709,1,2.1,0,1,0,13,1,156,2,2,3283,15,1,0,0,1348990,17,4
23,1949,0,2.6,1,4,0,47,0.3,199,4,7,1433,20,0,0,1,334554,55,2
24,1602,1,2.8,1,4,1,38,0.7,114,3,20,1037,20,1,0,0,367208,56,1
25,503,0,1.2,1,5,1,8,0.4,111,3,13,2583,12,1,0,0,250245,0,2
26,961,1,1.4,1,0,1,57,0.6,114,8,3,2782,7,1,1,1,417294,162,3
27,519,1,1.6,1,7,1,51,0.3,132,4,19,3763,4,1,0,1,354750,16,4
28,956,0,0.5,0,1,1,41,1,143,7,6,3286,12,1,1,0,549325,136,4
29,1453,0,1.6,1,12,1,52,0.3,96,2,18,2373,10,1,1,1,245157,10,3
30,851,0,0.5,0,3,0,21,0.4,200,5,7,478,10,1,0,1,1478973,84,1
31,1579,1,0.5,1,0,0,5,0.2,88,7,9,3532,12,0,0,1,2361562,187,4
32,1568,1,0.5,0,16,0,33,1,150,8,20,508,6,1,1,1,270102,5,1
33,1319,1,0.9,0,3,1,41,0.9,107,1,18,2227,3,1,1,1,97920,90,2
34,1310,1,2.2,1,0,1,51,0.6,100,4,0,3845,12,1,1,0,341582,0,4
35,644,1,2.7,0,0,0,22,0.7,157,8,3,1262,15,1,0,0,273991,12,1
36,725,0,1.3,1,16,0,60,0.4,160,8,17,1326,15,1,0,0,1416366,40,2
37,589,1,2.3,1,1,0,61,0.6,160,4,10,2113,2,1,0,1,349635,91,2
38,1725,1,1.6,1,6,1,6,0.5,119,2,18,3429,4,1,1,0,795963,30,4
